state,fy,canal_total,tanks,tubewells,other_wells,other_sources,net_irrigated_000ha
Madhya Pradesh,2023-24,2194,440,4918,2849,2346,12747
Maharashtra,2023-24,500,120,987,3155,1733,6496
Manipur,2023-24,,,,,57,57
Meghalaya,2023-24,105,,,,,105
Mizoram,2023-24,12,,,,,12
Nagaland,2023-24,,,,,118,118
Odisha,2023-24,,,,,1315,1315
Puducherry,2023-24,5,,11,,,16
Punjab,2023-24,927,,3182,,,4109
Rajasthan,2023-24,2215,51,4968,2095,218,9547
Sikkim,2023-24,,,,,13,13
Tamil Nadu,2023-24,603,401,572,1304,5,2885
Telangana,2023-24,975,372,1863,459,59,3728
Tripura,2023-24,7,2,9,1,71,90
Uttar Pradesh,2023-24,1874,,9797,43,1942,13656
Uttarakhand,2023-24,66,,228,,16,310
West Bengal,2023-24,553,904,1913,87,300,3757
India,2023-24,17420,3136,39405,12468,9987,82416
